Frame	time	opcode_ch	bits
     54164	     3009.13	 W_A006	10034a8000d9944d5557ab080d97adb0523c8cc1
     54167	     3009.23	 W_A006	10034a904cae908b6a65d5b33f220a14318171d0
     54169	     3009.32	 W_A006	10034aa05ce8494fd733408b70db7f93f274de65
     54172	     3009.41	 W_A006	10034ab05e8eef757549137ec985dbad301b4549
     54173	     3009.46	 N_A00D	a5bc007300005bdf5b7e5c64005b8000200396
     54175	     3009.51	 W_A006	10034ac0515532bc4cbf2e6b8c8f7a7919e7f642
     54178	     3009.62	 W_A006	10034ad0b485efae1511de08dac9319601b25eaa
     54180	     3009.70	 N_A00D	a5d5007100005bb45b8b4b64005b8000200396
     54181	     3009.70	 N_A011	13190500
     54182	     3009.71	 W_A006	10034ae0a78f73638451ede2d34af28149167a82
     54185	     3009.81	 W_A006	10034af03efbdcadebc5340f0bea21355de42c1e
     54187	     3009.91	 W_A006	10034b00d74012087fec8366a8a2ec359248f142
     54189	     3009.95	 N_A00D	a5ee007100005bbd5b7c5a64005b8000200396
     54190	     3009.99	 N_A011	131a0500
     54192	     3010.01	 W_A006	10034b101897c1b6a47534c2863366d7e22fb0ea
     54194	     3010.10	 W_A006	10034b20e54b62c632d923bcdc2dc78ad56c8e2f
     54197	     3010.19	 N_A00D	a607007100005bab5b8d4e64005b8000200396
     54198	     3010.20	 W_A006	10034b3061cf66a28821f693ea087ecf15d46af9
     54200	     3010.30	 W_A006	10034b407ab4ee56c256b38d76fdabc25d2e5527
     54203	     3010.40	 W_A006	10034b5068d3c6000cbeba0b193aa93bf3efa72f
     54205	     3010.48	 N_A00D	a620007200005be75b841c64005b8000200396
     54206	     3010.49	 W_A006	10034b601693b099d80cf9b99cf48f432bcc8111
     54209	     3010.59	 W_A006	10034b704412146649d7ac76434c256bf2af4a22
     54211	     3010.69	 W_A006	10034b80f216f36a4bfdf23a83f5a38ab860d0e8
     54213	     3010.73	 N_A00D	a639007200005ba35b76f564005b8000200396
     54215	     3010.79	 W_A006	10034b9056502df67fab4900877166070ea95615
     54217	     3010.88	 W_A006	10034ba09d19ccdc7e2de81298225f730b049986
     54220	     3010.98	 W_A006	10034bb08e7104e16207264be85069bce3d28c68
     54222	     3011.08	 W_A006	10034bc0d95b9f93e975091e8ff52d13b97a7d27
     54225	     3011.18	 W_A006	10034bd06dc53a46e3d20670f926b1e01e7c891b
     54226	     3011.21	 N_A00D	a66b007100005bce5b871364005b8000200396
     54227	     3011.21	 N_A011	131c0500
     54229	     3011.27	 W_A006	10034be02543ee55649e8b18a8a1ed5a90273f0b
     54232	     3011.37	 W_A006	10034bf0ceff4f26cdf7f8d7c522d3eddf1606ba
     54234	     3011.46	 N_A011	131b0500
     54235	     3011.46	 W_A006	10034c001920399375e7dccbf83d18a7cfe0dc68
     54238	     3011.57	 W_A006	10034c10d0afeb3e16355c1a3a387883785d6c48
     54240	     3011.66	 W_A006	10034c2006b774e1f40ad4ee0b2a355babf39ad8
     54241	     3011.70	 N_A00D	a69d007200005bce5b8cd464005b8000200396
     54243	     3011.70	 N_A011	131a0500
     54245	     3011.76	 W_A006	10034c305123c8c613aaeaf51ded544edb97ac75
     54247	     3011.86	 W_A006	10034c405e455965f33d6c7f0f936a356f941dd3
     54250	     3011.94	 N_A00D	a6b6007300005bce5b849e64005b8000200396
     54251	     3011.95	 N_A011	131b0500
     54252	     3011.96	 W_A006	10034c5072a75e6a85376b92660e9749cdce5049
     54254	     3012.05	 W_A006	10034c60f7c33ddd4a0a76244a6967816068a86b
     54257	     3012.15	 W_A006	10034c70018d1e08306b2ec2a9dcb5da156f3685
     54258	     3012.19	 N_A00D	a6cf007200005bab5b8fdb64005b8000200396
     54260	     3012.24	 N_A011	131c0500
     54261	     3012.25	 W_A006	10034c80ce217f37242d7a2e0cffc69c74f32694
     54264	     3012.35	 W_A006	10034c90037af80a9c85522227742a4ca13c2ca1
     54266	     3012.44	 W_A006	10034ca03f8c4985f2b9a1bf314ec7a21dabb044
     54268	     3012.48	 N_A00D	a6e8007200005bb45b908064005b8000200396
     54270	     3012.54	 W_A006	10034cb0d22524e9d6f2b6eb23b5949f1a8606cd
     54272	     3012.64	 W_A006	10034cc0b6af9f763edcb6585afef5dd0b5dd04a
     54275	     3012.74	 W_A006	10034cd03524df6f3217df06dff51d28f751f00c
     54277	     3012.83	 W_A006	10034ce06571626f9321bacd27fc79e7c934a930
     54280	     3012.93	 W_A006	10034cf0da0da831bb827200f4b118556864506e
     54281	     3012.97	 N_A00D	a71a007300005be75b8c8964005b8000200396
     54283	     3013.02	 W_A006	10034d0010756e4b9038b5489f43803350909ce9
     54286	     3013.14	 W_A006	10034d10d65b5539b55745d6e4a97982be316957
     54288	     3013.21	 N_A00D	a733007200005bd65b895164005b8000200396
     54289	     3013.23	 W_A006	10034d2017e3ccdd91f912e8723a67d59d5cd94a
